	
treeID	,treeSize	
0	,53
1	,57
2	,57
3	,57
4	,57
5	,57
6	,57
7	,59
8	,57
9	,57
10	,57
11	,57
12	,61
13	,59
14	,61
15	,59
16	,61
17	,51
18	,53
19	,59
20	,57
21	,59
22	,59
23	,49
24	,61
25	,55
26	,57
27	,53
28	,57
29	,57

