	
FEATURE	,gain	
x21	,1345087.698918	
x19	,115197.825137	
x14	,6146815.578813	
x17	,254146.757670	
x1	,161900.247607	
x5	,400174.971455	
x22	,136723.149342	
x2	,69147.745437	
x7	,120778.080292	
x18	,276189.214317	
x4	,53482.096611	
x0	,55106.800668	
x13	,45104.584621	
x23	,248459.615123	
x15	,121007.920195	
x20	,324057.640334	
x6	,496945.272136	
x16	,34359.526082	
x10	,27297.305510	
x12	,77013.612279	
x3	,125958.811496	
x11	,44150.556024	
x9	,38066.583232	
x8	,15178.814910	

